NOC,Gold,Silver,Bronze,Total
USA,40,44,42,126
CHN,40,27,24,91
JPN,20,12,13,45
AUS,18,19,16,53
FRA,16,26,22,64
NED,15,7,12,34
GBR,14,22,29,65
KOR,13,9,10,32
ITA,12,13,15,40
GER,12,13,8,33
NZL,10,7,3,20
CAN,9,7,11,27
UZB,8,2,3,13
HUN,6,7,6,19
ESP,5,4,9,18
SWE,4,4,3,11
KEN,4,2,5,11
NOR,4,1,3,8
IRL,4,0,3,7
BRA,3,7,10,20
IRI,3,6,3,12
UKR,3,5,4,12
ROU,3,4,2,9
GEO,3,3,1,7
BEL,3,1,6,10
BUL,3,1,3,7
SRB,3,1,1,5
CZE,3,0,2,5
DEN,2,2,5,9
CRO,2,2,3,7
AZE,2,2,3,7
CUB,2,1,6,9
BRN,2,1,1,4
SLO,2,1,0,3
TPE,2,0,5,7
AUT,2,0,3,5
PHI,2,0,2,4
HKG,2,0,2,4
INA,2,0,1,3
ALG,2,0,1,3
ISR,1,5,1,7
POL,1,4,5,10
KAZ,1,3,3,7
JAM,1,3,2,6
THA,1,3,2,6
RSA,1,3,2,6
AIN,1,3,1,5
ETH,1,3,0,4
SUI,1,2,5,8
ECU,1,2,2,5
POR,1,2,1,4
GRE,1,1,6,8
ARG,1,1,1,3
EGY,1,1,1,3
TUN,1,1,1,3
LCA,1,1,0,2
CHI,1,1,0,2
UGA,1,1,0,2
BOT,1,1,0,2
DOM,1,0,1,2
MAR,1,0,1,2
PAK,1,0,0,1
DMA,1,0,0,1
TUR,0,3,5,8
MEX,0,3,2,5
COL,0,3,1,4
ARM,0,3,1,4
PRK,0,2,4,6
KGZ,0,2,4,6
LTU,0,2,2,4
IND,0,1,5,6
MDA,0,1,3,4
KOS,0,1,1,2
PAN,0,1,0,1
JOR,0,1,0,1
CYP,0,1,0,1
MGL,0,1,0,1
FIJ,0,1,0,1
TJK,0,0,3,3
ALB,0,0,2,2
GRN,0,0,2,2
PUR,0,0,2,2
MAS,0,0,2,2
CPV,0,0,1,1
QAT,0,0,1,1
ZAM,0,0,1,1
SIN,0,0,1,1
CIV,0,0,1,1
ROT,0,0,1,1
PER,0,0,1,1
SVK,0,0,1,1
